AGI	WT-1_count	WT-2_count	#5-1_count	#5-2_count	WT-1_FPKM	WT-2_FPKM	#5-1_FPKM	#5-2_FPKM	WT_mean-FPKM	#5_mean-FPKM	log2 (FC)	P Value	FDR	Name	Annotation
AT2G24070	5	6	2	2	0.089	0.101	0.033	0.034	0.095	0.0335	-1.503766418	0.236870743	0.689699643	QWRF4	QWRF motif protein (DUF566)
AT2G24080	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT2G24080	F-box protein (DUF295)
AT2G24090	4235	4938	5470	5354	236.519	262.006	272.721	273.273	249.2625	272.997	0.131219243	0.463860596	0.896603876	PRPL35	Ribosomal protein L35
AT2G24100	437	264	212	199	11.296	6.483	4.892	4.701	8.8895	4.7965	-0.890120218	0.00053536	0.009701303	ASG1	ATP-dependent DNA helicase
AT2G24120	703	963	2533	2485	9.366	12.182	30.114	30.258	10.774	30.186	1.486325625	8.38E-13	2.43E-10	SCA3	DNA/RNA polymerases superfamily protein
AT2G24130	0	0	5	2	0	0	0.073	0.03	0.001	0.0515	5.686500527	0.180185768	0.603089306	AT2G24130	Leucine-rich receptor-like protein kinase family protein
AT2G24140	1	5	4	3	0.038	0.165	0.135	0.087	0.1015	0.111	0.129079949	0.960412111	0.99110731	AT2G24140	myosin-J heavy chain-like protein (Protein of unknown function, DUF593)
AT2G24150	1029	902	833	865	31.592	26.265	22.864	24.742	28.9285	23.803	-0.281348104	0.004960378	0.054425714	HHP3	heptahelical protein 3
AT2G24170	161	179	220	187	3.182	3.369	3.882	3.378	3.2755	3.63	0.1482544	0.76429332	0.966194613	AT2G24170	Endomembrane protein 70 protein family
AT2G24180	570	546	621	604	14.943	13.599	14.533	14.471	14.271	14.502	0.023165448	0.2615751	0.723323135	CYP71B6	cytochrome p450 71b6
AT2G24190	57	74	87	95	2.348	2.922	3.174	3.62	2.635	3.397	0.366458256	0.702635245	0.958433792	SDR2	NAD(P)-binding Rossmann-fold superfamily protein
AT2G24195	0	0	0	0	0	0	0	0	0.001	0.001	0	1	1	AT2G24195	uncharacterized protein
AT2G24200	3369	3202	3477	3296	81.589	74.035	75.941	73.473	77.812	74.707	-0.058749233	0.048312678	0.277036481	LAP1	Cytosol aminopeptidase family protein
