"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT2G19630",0.222447373180754,1.10695571217707,4.9968980720458,0.221528575571657,0.824680889167006,NA
"AT2G19700",0,NA,NA,NA,NA,NA
"AT2G19755",0,NA,NA,NA,NA,NA
"AT2G19770",0,NA,NA,NA,NA,NA
"AT2G19802",0,NA,NA,NA,NA,NA
"AT2G19803",0,NA,NA,NA,NA,NA
"AT2G19806",0,NA,NA,NA,NA,NA
"AT2G19820",0,NA,NA,NA,NA,NA
"AT2G19825",0,NA,NA,NA,NA,NA
"AT2G19840",0.267837215488267,-1.76255047301934,4.99412468784371,-0.352924803281262,0.72414481549112,NA
"AT2G19850",0,NA,NA,NA,NA,NA
"AT2G19890",0.220978903986876,1.1021515281592,4.99724364020502,0.220551889704138,0.825441364967029,NA
"AT2G19893",0,NA,NA,NA,NA,NA
"AT2G19960",0,NA,NA,NA,NA,NA
"AT2G19980",2.30059783227542,-0.676738116119191,2.21296588640947,-0.305805941372733,0.759752404493709,NA
"AT2G20030",0.444894746361509,2.107872650956,4.89195040188635,0.430885940737094,0.666551306623674,NA
"AT2G20070",0,NA,NA,NA,NA,NA
"AT2G20080",0.222447373180754,1.10695571217707,4.9968980720458,0.221528575571657,0.824680889167006,NA
"AT2G20150",0,NA,NA,NA,NA,NA
"AT2G20160",0,NA,NA,NA,NA,NA
"AT2G20170",0,NA,NA,NA,NA,NA
"AT2G20208",0,NA,NA,NA,NA,NA
"AT2G20380",0.267837215488267,-1.76255047301934,4.99412468784371,-0.352924803281262,0.72414481549112,NA
"AT2G20430",0,NA,NA,NA,NA,NA
"AT2G20460",0,NA,NA,NA,NA,NA
"AT2G20463",0,NA,NA,NA,NA,NA
"AT2G20465",0,NA,NA,NA,NA,NA
"AT2G20470",3.15868140192739,0.344662930749086,2.06190161774243,0.167157796367829,0.867245890749734,NA
"AT2G20510",3.01626673251295,-0.338647795822022,1.65852397625453,-0.20418625275879,0.838207953765223,NA
"AT2G20520",0.667342119542263,2.69295754453814,4.85646893648247,0.554509372912542,0.5792302928747,NA
"AT2G20595",0,NA,NA,NA,NA,NA
"AT2G20597",0,NA,NA,NA,NA,NA
"AT2G20600",0,NA,NA,NA,NA,NA
"AT2G20605",0,NA,NA,NA,NA,NA
"AT2G20613",0,NA,NA,NA,NA,NA
"AT2G20616",0,NA,NA,NA,NA,NA
"AT2G20618",0,NA,NA,NA,NA,NA
"AT2G20619",0,NA,NA,NA,NA,NA
"AT2G20620",0,NA,NA,NA,NA,NA
"AT2G20625",0,NA,NA,NA,NA,NA
"AT2G20660",0,NA,NA,NA,NA,NA
"AT2G20784",0,NA,NA,NA,NA,NA
"AT2G20800",2.42599127055761,0.267848461081861,1.8735002637606,0.142966865958279,0.886316349465986,NA
"AT2G20805",0,NA,NA,NA,NA,NA
"AT2G20825",0.561506477272061,-2.78289340779091,4.2954690093537,-0.647867183241446,0.517070857691468,NA
"AT2G20873",0,NA,NA,NA,NA,NA
"AT2G20921",0,NA,NA,NA,NA,NA
"AT2G20970",1.29713354702961,-0.946289705784144,2.74373389094164,-0.344891211537785,0.730176157885989,NA
"AT2G21000",0,NA,NA,NA,NA,NA
"AT2G21010",0,NA,NA,NA,NA,NA
"AT2G21030",0,NA,NA,NA,NA,NA
